ISIN	CO2	CO2	ESG Score 2015	ESG Score 2016	ESG Score 2017	ESG Score 2018	ESG Score 2019	ESG Score 2020	ESG Score 2021	Green Bond Flag	ISO 14000 or EMS Certified	EMS Certified Percent													
XS0494953820	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0503603267	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0525787874	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0847580353	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0850057588	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0875796541	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0875797515	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1382791975	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1382792197	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1396830058	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1557095459	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1557095616	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1557096267	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1617898363	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1250867642	0	143,8750211	NULL	0	0	53,4150663	0	69,62988645	70,26929525	N	No	NULL													
XS1088135634	30,33268403	58,11448778	42,17157314	42,48692454	47,73900802	58,40705528	67,58625381	62,66827366	62,66827366	N	No	NULL													
XS1400342587	30,33268403	58,11448778	42,17157314	42,48692454	47,73900802	58,40705528	67,58625381	62,66827366	62,66827366	N	No	NULL													
XS1589970968	30,33268403	58,11448778	42,17157314	42,48692454	47,73900802	58,40705528	67,58625381	62,66827366	62,66827366	N	No	NULL													
XS0322977223	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0347908096	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0361244667	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE0002481563	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6212766131	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE6228266902	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1492685885	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
FR0012599892	3,899741124	5,445629835	39,29900979	53,72652705	0	63,2448604	57,03915221	0	69,44782223	N	ISO 14000	51													
FR0013247202	3,899741124	5,445629835	39,29900979	53,72652705	0	63,2448604	57,03915221	0	69,44782223	N	ISO 14000	51													
XS0557897203	368,467397	853,7071848	66,0622439	66,75641938	67,87257776	65,33682045	64,16115926	58,06714343	58,06714343	N	Both	88													
XS0223447227	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0399353506	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0831842645	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0970695572	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0995380580	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1057345651	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1111324700	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1222590488	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1385395121	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1471646965	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1558083652	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0235372140	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS1292352843	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
XS0162990229	802,237427	417,6550534	65,84633437	0	0	71,9687432	72,96525294	71,12538714	70,71631698	N	Both	99,7													
XS0645947457	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE0002432079	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
BE0002433085	0	0	NULL	0	0	0	0	0	0	N	NULL	NULL													
