ISIN	Date	Before2020
XS1514470316	2017-06-23	True
XS0203712939	2017-06-23	True
XS0436320278	2017-06-23	True
XS0605214336	2017-06-23	True
XS0843310748	2017-06-23	True
XS1178105851	2017-06-23	True
XS1503131713	2017-06-23	True
XS0418669429	2017-06-23	True
XS0541787783	2017-06-23	True
XS0554819465	2017-06-23	True
XS0761713865	2017-06-23	True
XS0811116853	2017-06-23	True
XS0978619194	2017-06-23	True
XS1038708522	2017-06-23	True
XS1074055770	2017-06-23	True
XS1121177338	2017-06-23	True
XS1218363270	2017-06-23	True
XS1376614118	2017-06-23	True
XS1401196958	2017-06-23	True
XS1401197253	2017-06-23	True
XS1523192588	2017-06-23	True
XS1569845404	2017-06-23	True
XS1619568303	2017-06-23	True
XS1619568998	2017-06-23	True
XS0957258212	2017-06-23	True
XS1178970106	2017-06-23	True
XS1241577490	2017-06-23	True
XS1403010512	2017-06-23	True
XS1403014936	2017-06-23	True
XS1403015156	2017-06-23	True
XS1566100977	2017-06-23	True
XS1566101603	2017-06-23	True
XS1529854280	2017-06-23	True
XS1032164607	2017-06-23	True
XS1145750037	2017-06-23	True
XS1269854870	2017-06-23	True
FR0011689033	2017-06-23	True
FR0013139482	2017-06-23	True
FR0013230943	2017-06-23	True
FR0010033381	2017-06-23	True
XS0439828269	2017-06-23	True
XS1140300663	2017-06-23	True
XS0942081570	2017-06-23	True
XS0942082115	2017-06-23	True
XS0951155869	2017-06-23	True
FR0010830034	2017-06-23	True
XS0168881760	2017-06-23	True
XS0731681556	2017-06-23	True
XS0873793375	2017-06-23	True
XS0909788290	2017-06-23	True
XS1167644407	2017-06-23	True
XS1167667283	2017-06-23	True
XS1586555515	2017-06-23	True
XS1586555606	2017-06-23	True
XS1586555861	2017-06-23	True
XS1586555945	2017-06-23	True
DE000A1HRVD5	2017-06-23	True
DE000A1ZLUN1	2017-06-23	True
DE000A1ZY971	2017-06-23	True
DE000A1ZY989	2017-06-23	True
DE000A18V138	2017-06-23	True
DE000A18V146	2017-06-23	True
DE000A19B8D4	2017-06-23	True
DE000A19B8E2	2017-06-23	True
DE000A182VS4	2017-06-23	True
DE000A182VT2	2017-06-23	True
DE000A189ZX0	2017-06-23	True
FR0011036979	2017-06-23	True
FR0013005196	2017-06-23	True
FR0013213709	2017-06-23	True
XS1514149159	2017-06-23	True
XS0907301260	2017-06-23	True
XS1067329570	2017-06-23	True
XS1575992596	2017-06-23	True
XS1533928971	2017-06-23	True
XS1112013666	2017-06-23	True
DE000A1HJ483	2017-06-23	True
XS0625977987	2017-06-23	True
XS1234248919	2017-06-23	True
XS0979598207	2017-06-23	True
XS0979598462	2017-06-23	True
XS1628004779	2017-06-30	True
FR0010096941	2017-06-30	True
XS1632897762	2017-06-30	True
XS1632897929	2017-06-30	True
BE6248644013	2017-07-07	True
BE6276039425	2017-07-07	True
BE6276040431	2017-07-07	True
BE6285451454	2017-07-07	True
BE6285452460	2017-07-07	True
BE6285454482	2017-07-07	True
BE6285455497	2017-07-07	True
BE6285457519	2017-07-07	True
IT0004869985	2017-07-07	True
IT0005108490	2017-07-07	True
FR0013264405	2017-07-07	True
FR0013264421	2017-07-07	True
FR0013264439	2017-07-07	True
BE0002269380	2017-07-07	True
XS1637093508	2017-07-07	True
DE000A2GSCW3	2017-07-07	True
DE000A2GSCX1	2017-07-07	True
DE000A2GSCY9	2017-07-07	True
BE0002178441	2017-07-07	True
