ISIN	ICB Industry name	ICB Sector name	ICB Supersector name
XS0985874543	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1002933072	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1044496203	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1549372420	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1589806907	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS1629387462	Unable to collect data for the field 'TR.ICBIndustry' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSector' and some specific identifier(s).	Unable to collect data for the field 'TR.ICBSupersector' and some specific identifier(s).
XS0911691003	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1288852939	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1310154536	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1330434389	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1401174633	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1527192485	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1611855237	Consumer Staples	Beverages	Food, Beverage and Tobacco
XS1611167856	Consumer Discretionary	Automobiles and Parts	Automobiles and Parts
XS0875513268	Consumer Discretionary	Automobiles and Parts	Automobiles and Parts
XS1040041649	Consumer Discretionary	Automobiles and Parts	Automobiles and Parts
XS1488370740	Consumer Discretionary	Household Goods and Home Construction	Consumer Products and Services
XS1488418960	Consumer Discretionary	Household Goods and Home Construction	Consumer Products and Services
